Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR24947461_1	97.87520406743624	46.0	143.70888584488964	151	18.181818181818183	100420524.0
SRR24947461_2	97.02682021385532	47.0	143.64476284748324	151	9.090909090909092	100420524.0
SRR24947462_1	96.92213450455345	46.0	145.34581197445027	151	18.181818181818183	124450757.0
SRR24947462_2	95.96036143547376	48.0	145.3195070962887	151	27.27272727272727	124450757.0
SRR24947463_1	96.29813661170513	46.0	144.8315911391637	151	18.181818181818183	122138223.0
SRR24947463_2	95.60282231125419	47.0	144.73828405870944	151	18.181818181818183	122138223.0
SRR24947464_1	95.61892384303782	46.0	145.25253360419603	151	18.181818181818183	114498350.0
SRR24947464_2	94.60917365944186	46.0	145.1801634870721	151	9.090909090909092	114498350.0
SRR24947465_1	96.5441402544945	46.0	144.7418841996095	151	18.181818181818183	105798037.0
SRR24947465_2	95.60238355609383	46.0	144.70026358806638	151	9.090909090909092	105798037.0
SRR24947466_1	97.63366156406592	48.0	145.10378892697915	151	18.181818181818183	122012486.0
SRR24947466_2	96.9633190958141	48.0	145.03684319652334	151	9.090909090909092	122012486.0
XN580_FB_1	57.20695008469008	46.0	150.0	150	18.181818181818183	20195959.0
XN580_FB_2	56.343423055233096	46.0	150.0	150	18.181818181818183	20195959.0
XN580_F_1	54.04678408311002	46.0	150.0	150	18.181818181818183	17022360.0
XN580_F_2	53.411421992981815	46.0	150.0	150	18.181818181818183	17022360.0
XN580_L_1	65.15049869317727	47.0	150.0	150	18.181818181818183	18092935.0
XN580_L_2	64.05014588014707	47.0	150.0	150	18.181818181818183	18092935.0
XN580_R_1	59.73849536070492	46.0	150.0	150	18.181818181818183	18349671.0
XN580_R_2	58.915480019071815	46.0	150.0	150	18.181818181818183	18349671.0
XN580_S_1	58.82287089885072	46.0	150.0	150	18.181818181818183	16605099.0
XN580_S_2	58.22089440382722	46.0	150.0	150	18.181818181818183	16605099.0
